date,PM2.5_forecast,PM2.5_upper,PM2.5_lower,AQI_Level
2025-03-17,25.326525863557045,30.391831036268453,20.261220690845636,Moderate
2025-03-18,24.819906948752447,29.783888338502933,19.85592555900196,Moderate
2025-03-19,32.984976538069745,39.58197184568369,26.387981230455797,Moderate
2025-03-20,25.254936642353158,30.305923970823788,20.20394931388253,Moderate
2025-03-21,26.857776074657025,32.22933128958843,21.48622085972562,Moderate
2025-03-22,29.37294943581615,35.24753932297938,23.49835954865292,Moderate
2025-03-23,27.910165125054256,33.49219815006511,22.328132100043405,Moderate
2025-03-24,23.90675737175885,28.68810884611062,19.12540589740708,Moderate
2025-03-25,15.204603453832735,18.245524144599283,12.16368276306619,Moderate
2025-03-26,19.39036503584818,23.268438043017817,15.512292028678544,Moderate
2025-03-27,12.608140798243484,15.12976895789218,10.086512638594789,Moderate
2025-03-28,19.952655640044807,23.943186768053767,15.962124512035846,Moderate
